For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['linear', 18], 'linear'], R is -52.31
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['linear', 18], 'relu'], R is -5.81
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['linear', 18], 'tanh'], R is -55.87
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['linear', 18], 'linear'], R is -199.19
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['linear', 18], 'relu'], R is -9.58
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['linear', 18], 'tanh'], R is 0.25
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['linear', 18], 'linear'], R is -0.67
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['linear', 18], 'relu'], R is -7.94
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['linear', 18], 'tanh'], R is -2.36
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['linear', 18], 'linear'], R is -3.29
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['linear', 18], 'relu'], R is -5.87
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['linear', 18], 'tanh'], R is -2.46
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['linear', 18], 'linear'], R is -10.22
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['linear', 18], 'relu'], R is -5.34
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['linear', 18], 'tanh'], R is -7.93
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['linear', 18], 'linear'], R is -23.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['linear', 18], 'relu'], R is -0.60
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['linear', 18], 'tanh'], R is -0.09
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['linear', 18], 'linear'], R is -0.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['linear', 18], 'relu'], R is -4.62
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['linear', 18], 'tanh'], R is -2.24
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['linear', 18], 'linear'], R is -7.24
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['linear', 18], 'relu'], R is -2.61
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['linear', 18], 'tanh'], R is -6.98
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['linear', 18], 'linear'], R is -23.96
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['linear', 18], 'relu'], R is -32.82
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['linear', 18], 'tanh'], R is -19.67
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['linear', 18], 'linear'], R is -61.02
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['linear', 18], 'relu'], R is -12.62
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['linear', 50], 'tanh'], R is 0.29
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['linear', 50], 'linear'], R is 0.25
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['linear', 50], 'relu'], R is -0.02
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['linear', 50], 'tanh'], R is 0.07
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['linear', 50], 'linear'], R is 0.14
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['linear', 50], 'relu'], R is -0.50
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['linear', 50], 'tanh'], R is -5.50
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['linear', 50], 'linear'], R is -13.12
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['linear', 50], 'relu'], R is -2.12
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['linear', 50], 'tanh'], R is -85.04
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['linear', 50], 'linear'], R is -229.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['linear', 50], 'relu'], R is -24.08
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['linear', 50], 'tanh'], R is 0.14
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['linear', 50], 'linear'], R is -0.09
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['linear', 50], 'relu'], R is -0.09
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['linear', 50], 'tanh'], R is -0.17
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['linear', 50], 'linear'], R is -1.08
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['linear', 50], 'relu'], R is -1.59
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['linear', 50], 'tanh'], R is -2.18
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['linear', 50], 'linear'], R is -10.84
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['linear', 50], 'relu'], R is -0.64
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['linear', 50], 'tanh'], R is -34.84
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['linear', 50], 'linear'], R is -21.11
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['linear', 50], 'relu'], R is -1.00
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['linear', 50], 'tanh'], R is 0.32
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['linear', 50], 'linear'], R is 0.15
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['linear', 50], 'relu'], R is -0.42
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['linear', 50], 'tanh'], R is -0.12
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['linear', 50], 'linear'], R is -0.05
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['linear', 50], 'relu'], R is -2.59
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['linear', 50], 'tanh'], R is -0.97
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['linear', 50], 'linear'], R is -3.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['linear', 50], 'relu'], R is -3.71
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['linear', 50], 'tanh'], R is -21.96
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['linear', 50], 'linear'], R is -22.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['linear', 50], 'relu'], R is -7.75
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 5], 'tanh'], R is -2.60
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 5], 'linear'], R is -1.31
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 5], 'relu'], R is -0.92
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 5], 'tanh'], R is -4.71
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 5], 'linear'], R is -8.49
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 5], 'relu'], R is -0.23
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 5], 'tanh'], R is -23.24
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 5], 'linear'], R is -19.13
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 5], 'relu'], R is -1.52
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 5], 'tanh'], R is -23.82
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 5], 'linear'], R is -14.75
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 5], 'relu'], R is -3.50
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 5], 'tanh'], R is -3.42
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 5], 'linear'], R is -17.72
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 5], 'relu'], R is -14.14
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 5], 'tanh'], R is -3.98
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 5], 'linear'], R is -15.78
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 5], 'relu'], R is -0.23
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 5], 'tanh'], R is -2.86
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 5], 'linear'], R is 0.08
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 5], 'relu'], R is -0.12
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 5], 'tanh'], R is 0.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 5], 'linear'], R is -0.63
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 5], 'relu'], R is -0.31
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 5], 'tanh'], R is -16.67
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 5], 'linear'], R is -19.22
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 5], 'relu'], R is -1.38
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 5], 'tanh'], R is -31.95
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 5], 'linear'], R is -249.90
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 5], 'relu'], R is -87.40
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 5], 'tanh'], R is -9.41
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 5], 'linear'], R is -2.07
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 5], 'relu'], R is -2.05
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 5], 'tanh'], R is -0.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 5], 'linear'], R is -1.05
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 5], 'relu'], R is -7.94
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 10], 'tanh'], R is -6.73
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 10], 'linear'], R is -32.02
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 10], 'relu'], R is -0.18
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 10], 'tanh'], R is -23.04
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 10], 'linear'], R is -23.31
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 10], 'relu'], R is -1.06
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 10], 'tanh'], R is -13.13
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 10], 'linear'], R is -39.30
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 10], 'relu'], R is -1.07
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 10], 'tanh'], R is -34.01
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 10], 'linear'], R is -28.82
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 10], 'relu'], R is -5.99
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 10], 'tanh'], R is -10.87
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 10], 'linear'], R is -8.88
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 10], 'relu'], R is -3.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 10], 'tanh'], R is -2.36
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 10], 'linear'], R is -20.02
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 10], 'relu'], R is -35.69
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 10], 'tanh'], R is -15.09
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 10], 'linear'], R is -6.28
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 10], 'relu'], R is -0.31
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 10], 'tanh'], R is 0.31
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 10], 'linear'], R is -2.66
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 10], 'relu'], R is -1.93
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 10], 'tanh'], R is -9.48
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 10], 'linear'], R is -4.99
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 10], 'relu'], R is -2.17
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 10], 'tanh'], R is -17.86
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 10], 'linear'], R is -83.30
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 10], 'relu'], R is -3.26
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 10], 'tanh'], R is -5.50
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 10], 'linear'], R is -34.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 10], 'relu'], R is -14.69
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 10], 'tanh'], R is -6.20
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 10], 'linear'], R is -14.90
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 10], 'relu'], R is -12.80
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 18], 'tanh'], R is -9.50
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 18], 'linear'], R is -10.03
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 18], 'relu'], R is -0.22
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 18], 'tanh'], R is -21.43
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 18], 'linear'], R is -50.13
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 18], 'relu'], R is -0.53
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 18], 'tanh'], R is -43.21
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 18], 'linear'], R is -36.75
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 18], 'relu'], R is -1.99
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 18], 'tanh'], R is -18.62
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 18], 'linear'], R is -43.90
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 18], 'relu'], R is -4.12
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 18], 'tanh'], R is -12.87
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 18], 'linear'], R is -9.69
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 18], 'relu'], R is -2.00
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 18], 'tanh'], R is -7.90
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 18], 'linear'], R is -12.06
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 10], ['relu', 18], 'relu'], R is -4.51
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 18], 'tanh'], R is -18.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 18], 'linear'], R is -4.64
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 18], ['relu', 18], 'relu'], R is -6.82
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 18], 'tanh'], R is -5.42
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 18], 'linear'], R is -19.28
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 50], ['relu', 18], 'relu'], R is -6.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 18], 'tanh'], R is -51.27
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 18], 'linear'], R is -21.22
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 5], ['relu', 18], 'relu'], R is -5.11
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 18], 'tanh'], R is -25.68
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 18], 'linear'], R is -70.98
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 10], ['relu', 18], 'relu'], R is -12.21
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 18], 'tanh'], R is -41.07
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 18], 'linear'], R is -75.62
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 18], ['relu', 18], 'relu'], R is -2.02
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 18], 'tanh'], R is 0.06
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 18], 'linear'], R is 0.17
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['relu', 50], ['relu', 18], 'relu'], R is -41.46
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 50], 'tanh'], R is -5.88
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 50], 'linear'], R is -9.36
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 5], ['relu', 50], 'relu'], R is -0.07
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 50], 'tanh'], R is -19.61
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 50], 'linear'], R is -24.33
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 10], ['relu', 50], 'relu'], R is -1.99
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 50], 'tanh'], R is -49.29
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 50], 'linear'], R is -57.04
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 18], ['relu', 50], 'relu'], R is -0.97
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 50], 'tanh'], R is -54.52
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 50], 'linear'], R is -78.32
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['tanh', 50], ['relu', 50], 'relu'], R is -12.52
The best_R for now is 0.3402 and combination is [['tanh', 5], ['linear', 18], 'tanh'] For this combination [['linear', 5], ['relu', 50], 'tanh'], R is -4.53
