For this combination [['tanh', 5], ['tanh', 5], 'tanh'], R is -1.91
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 10], 'relu'], R is -6.29
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 10], 'tanh'], R is -5.68
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 10], 'linear'], R is -10.75
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 10], 'relu'], R is -4.65
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 10], 'tanh'], R is -7.82
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 10], 'linear'], R is -4.58
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 10], 'relu'], R is -0.67
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 10], 'tanh'], R is -36.87
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 10], 'linear'], R is -15.21
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 10], 'relu'], R is -11.78
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 10], 'tanh'], R is -26.04
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 10], 'linear'], R is -20.10
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 10], 'relu'], R is -5.00
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 10], 'tanh'], R is -12.16
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 10], 'linear'], R is -14.82
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 10], 'relu'], R is -1.97
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 10], 'tanh'], R is -7.89
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 10], 'linear'], R is -15.52
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 10], 'relu'], R is -5.36
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 18], 'tanh'], R is -10.85
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 18], 'linear'], R is -10.16
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 5], ['tanh', 18], 'relu'], R is -0.50
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 18], 'tanh'], R is -15.92
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 18], 'linear'], R is -19.07
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 10], ['tanh', 18], 'relu'], R is -0.69
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 18], 'tanh'], R is -24.27
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 18], 'linear'], R is -52.52
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 18], ['tanh', 18], 'relu'], R is -1.00
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 18], 'tanh'], R is -51.98
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 18], 'linear'], R is -95.51
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['tanh', 50], ['tanh', 18], 'relu'], R is -5.71
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 18], 'tanh'], R is -17.54
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 18], 'linear'], R is -33.62
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 5], ['tanh', 18], 'relu'], R is -10.23
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 18], 'tanh'], R is -49.33
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 18], 'linear'], R is -4.50
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 10], ['tanh', 18], 'relu'], R is -9.72
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 18], 'tanh'], R is -16.90
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 18], 'linear'], R is -28.71
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 18], ['tanh', 18], 'relu'], R is -6.31
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 18], 'tanh'], R is -5.64
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 18], 'linear'], R is -24.24
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['linear', 50], ['tanh', 18], 'relu'], R is -8.12
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 18], 'tanh'], R is -18.80
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 18], 'linear'], R is -42.19
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 5], ['tanh', 18], 'relu'], R is -9.87
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 18], 'tanh'], R is -41.80
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 18], 'linear'], R is -48.75
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 10], ['tanh', 18], 'relu'], R is -4.03
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 18], 'tanh'], R is -40.44
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 18], 'linear'], R is -40.60
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 18], ['tanh', 18], 'relu'], R is -3.42
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 18], 'tanh'], R is -8.88
The best_R for now is 0.0000 and combination is [['none', 'none']] For this combination [['relu', 50], ['tanh', 18], 'linear'], R is -6.86
