For this combination [['tanh', 18], ['tanh', 18], ['tanh', 18], 'tanh'], R is 0.13
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['tanh', 100], 'tanh'], R is 0.21
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['tanh', 100], 'linear'], R is 0.24
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['tanh', 100], 'tanh'], R is 0.16
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['tanh', 100], 'linear'], R is 0.21
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['tanh', 100], 'tanh'], R is 0.19
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['tanh', 100], 'linear'], R is 0.14
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['tanh', 100], 'tanh'], R is 0.15
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['tanh', 100], 'linear'], R is -0.04
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['tanh', 100], 'tanh'], R is 0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['tanh', 100], 'linear'], R is -0.13
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['tanh', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 18], 'tanh'], R is -0.00
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 18], 'linear'], R is 0.16
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 18], 'tanh'], R is -0.10
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 18], 'linear'], R is -0.20
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 18], 'tanh'], R is -0.37
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 18], 'linear'], R is -0.18
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 18], ['tanh', 18], ['linear', 18], 'tanh'], R is -0.02
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 18], ['tanh', 18], ['linear', 18], 'linear'], R is 0.02
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 18], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['linear', 18], 'tanh'], R is 0.17
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['linear', 18], 'linear'], R is 0.10
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['linear', 18], 'tanh'], R is 0.18
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['linear', 18], 'linear'], R is 0.26
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['linear', 18], 'tanh'], R is 0.20
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['linear', 18], 'linear'], R is 0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['linear', 18], 'relu'], R is -0.09
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['linear', 18], 'tanh'], R is 0.20
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['linear', 18], 'linear'], R is -0.02
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['linear', 18], 'tanh'], R is 0.11
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['linear', 18], 'linear'], R is -0.01
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['linear', 18], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 50], 'tanh'], R is -0.49
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 50], 'linear'], R is -0.37
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 50], 'tanh'], R is -0.27
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 50], 'linear'], R is 0.12
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 50], 'tanh'], R is -0.06
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 50], 'linear'], R is -0.13
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 18], ['tanh', 18], ['linear', 50], 'tanh'], R is 0.03
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 18], ['tanh', 18], ['linear', 50], 'linear'], R is -0.31
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 18], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['linear', 50], 'tanh'], R is -0.19
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['linear', 50], 'linear'], R is -0.06
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 50], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['linear', 50], 'tanh'], R is 0.14
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['linear', 50], 'linear'], R is -0.10
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['linear', 100], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['linear', 50], 'tanh'], R is 0.23
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['linear', 50], 'linear'], R is -0.00
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 18], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['linear', 50], 'tanh'], R is 0.21
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['linear', 50], 'linear'], R is -0.25
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 50], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['linear', 50], 'tanh'], R is -0.03
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['linear', 50], 'linear'], R is -0.12
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['relu', 100], ['tanh', 18], ['linear', 50], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 100], 'tanh'], R is -0.13
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 100], 'linear'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 18], ['tanh', 18], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 100], 'tanh'], R is 0.24
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 100], 'linear'], R is 0.12
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 50], ['tanh', 18], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 100], 'tanh'], R is 0.05
The best_R for now is 0.2765 and combination is [['relu', 100], ['tanh', 18], ['tanh', 50], 'tanh'] For this combination [['tanh', 100], ['tanh', 18], ['linear', 100], 'linear'], R is 0.26
