For this combination [['tanh', 5], ['tanh', 5], ['tanh', 5], 'tanh'], R is -2.77
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.16
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 10], 'tanh'], R is -7.41
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 10], 'linear'], R is -6.96
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 10], 'tanh'], R is -5.18
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 10], 'linear'], R is -9.26
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 50], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.23
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 10], 'tanh'], R is -2.99
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 10], 'linear'], R is -1.38
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 5], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.96
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 10], 'tanh'], R is -1.47
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 10], 'linear'], R is -3.62
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 10], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.09
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 10], 'tanh'], R is -0.68
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 10], 'linear'], R is -0.92
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 18], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.11
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 10], 'tanh'], R is -0.12
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 10], 'linear'], R is -2.32
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['linear', 50], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.11
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 10], 'tanh'], R is -5.99
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 10], 'linear'], R is -7.16
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 5], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.19
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 10], 'tanh'], R is -6.61
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 10], 'linear'], R is -8.44
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 10], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.17
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 10], 'tanh'], R is -3.30
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 10], 'linear'], R is -3.33
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 18], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.14
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 10], 'tanh'], R is -1.38
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 10], 'linear'], R is -4.80
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['relu', 50], ['tanh', 5], ['tanh', 10], 'relu'], R is -0.11
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 18], 'tanh'], R is -2.72
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 18], 'linear'], R is -2.91
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 5], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.06
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 18], 'tanh'], R is -10.56
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 18], 'linear'], R is -6.05
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 10], ['tanh', 5], ['tanh', 18], 'relu'], R is -0.33
The best_R for now is 0.0000 and combination is [['none', 'none'], ['none', 'none']] For this combination [['tanh', 18], ['tanh', 5], ['tanh', 18], 'tanh'], R is -3.74
