The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['linear', 100], 'tanh'], R is 0.02
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['linear', 100], 'elu'], R is -0.25
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['linear', 100], 'softmax'], R is -45.36
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['linear', 100], 'softplus'], R is 0.22
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['softplus', 100], ['linear', 100], ['linear', 100], 'selu'], R is 0.04
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'linear'], R is -0.15
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'tanh'], R is -0.09
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'relu'], R is -0.07
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'elu'], R is 0.08
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'softmax'], R is -45.35
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'softplus'], R is -0.01
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['selu', 100], ['linear', 100], ['linear', 100], 'selu'], R is -0.53
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -2.60
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -1.47
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -3.38
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'elu'], R is -2.36
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'softmax'], R is -45.37
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'softplus'], R is 0.23
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['linear', 100], ['linear', 100], ['tanh', 100], 'selu'], R is -3.36
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'linear'], R is -0.63
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'tanh'], R is -3.16
The best_R for now is 0.2607 and combination is [['linear', 100], ['linear', 100], ['linear', 100], 'selu'] For this combination [['tanh', 100], ['linear', 100], ['tanh', 100], 'relu'], R is -0.07
