run	l_neg[m]	l_sep[m]	l_pos[m]	Rp_neg[m]	Rp_pos[m]	epsilon_f_neg[1]	epsilon_f_pos[1]	epsilon_neg[1]	epsilon_sep[1]	epsilon_pos[1]	Cdl_neg[uF/cm^2]	Cdl_pos[uF/cm^2]	c0[mol/m^3]	D[m^2/s]	Ds_neg[m^2/s]	Ds_pos[m^2/s]	i0_neg[A/m^2]	i0_pos[A/m^2]	tP[1]	aa_neg[1]	aa_pos[1]	kappa_0[S/m]	sigma_neg[S/m]	sigma_pos[S/m]	dUdcp_neg[V*cm^3/mol]	dUdcp_pos[V*cm^3/mol]	d2Udcp2_neg[V*cm^6/mol^2]	d2Udcp2_pos[V*cm^6/mol^2]	d3Udcp3_neg[V*cm^9/mol^3]	d3Udcp3_pos[V*cm^9/mol^3]	100000.0_real	100000.0_imag	46415.89_real	46415.89_imag	21544.35_real	21544.35_imag	10000.0_real	10000.0_imag	4641.589_real	4641.589_imag	2154.435_real	2154.435_imag	1000.0_real	1000.0_imag	464.1589_real	464.1589_imag	215.4435_real	215.4435_imag	100.0_real	100.0_imag	46.41589_real	46.41589_imag	21.54435_real	21.54435_imag	10.0_real	10.0_imag	4.641589_real	4.641589_imag	2.154435_real	2.154435_imag	1.0_real	1.0_imag	0.4641589_real	0.4641589_imag	0.2154435_real	0.2154435_imag	0.1_real	0.1_imag	0.04641589_real	0.04641589_imag	0.02154435_real	0.02154435_imag	0.01_real	0.01_imag	0.004641589_real	0.004641589_imag	0.002154435_real	0.002154435_imag	0.001_real	0.001_imag
1	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.0003274816	-8.213738999999999e-05	0.0003686147	-0.0001197695	0.00043184690000000003	-0.000170195	0.0005284094999999999	-0.0002292191	0.0006595861999999999	-0.0002796552	0.0007997598	-0.0003216248	0.0009537308	-0.00039243190000000003	0.0011705	-0.0004952729	0.001490107	-0.0005650709	0.001841224	-0.0004917689	0.0020586579999999997	-0.0003085387	0.002132806	-0.0001660209	0.002155399	-9.927914e-05	0.002173441	-8.215626e-05	0.002201984	-8.919424999999999e-05	0.002240387	-0.00010822	0.0022884010000000002	-0.00014075440000000002	0.002351237	-0.0001936064	0.002436629	-0.0002765274	0.002554397	-0.00040797580000000004	0.002720142	-0.0006225691	0.002962287	-0.0009837562	0.003334619	-0.0015953579999999998	0.003893797	-0.002644932	0.004823015999999999	-0.004589574
2	0.0009650830078125	3.2656250000000004e-05	0.0010206298828125	1.670556640625e-05	5.306640624999999e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.0007190003999999999	-8.561472e-05	0.0007623017999999999	-0.0001266792	0.000829322	-0.00018125689999999998	0.0009319153	-0.0002453701	0.0010718	-0.0003015686	0.00122304	-0.0003503953	0.001391691	-0.0004308807	0.001631071	-0.0005459812	0.0019854910000000003	-0.0006243669	0.002377031	-0.0005347052	0.002604557	-0.0003257017	0.002677744	-0.0001725214	0.0026993309999999997	-0.00010174090000000001	0.0027163540000000003	-8.358959999999999e-05	0.0027451859999999997	-9.170399e-05	0.002785518	-0.00011141459999999999	0.0028355259999999997	-0.0001435712	0.002900111	-0.0001957971	0.00298853	-0.0002769536	0.00311016	-0.0004016021	0.003278471	-0.0006016039	0.0035262690000000003	-0.0009358402	0.003931735	-0.001490438	0.004641765	-0.0023437139999999998	0.005839407	-0.0035231859999999998
3	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.0575390625	0.1095703125	0.27646484375	0.781982421875	0.41064453125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.404443359375	0.4677734375000001	0.2779296875	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	60.29390849463254	-44809.19970946155	-22417.435945466317	120.51876912115738	0.0007325564	-0.000104876	0.0007825998	-0.0001532489	0.00085712	-0.000222531	0.0009682547999999999	-0.0003185482	0.001129209	-0.00044521839999999997	0.001351834	-0.0006145254	0.00167374	-0.0008479528	0.002173364	-0.0011272930000000001	0.0029246759999999998	-0.001309656	0.003756353	-0.00112414	0.004239206	-0.0006774011	0.004392253	-0.0003409972	0.004429919	-0.00016736439999999998	0.004441798	-8.969299000000001e-05	0.004451351	-5.952924e-05	0.004462213	-5.392739000000001e-05	0.004475029	-6.745147e-05	0.0044923770000000005	-0.0001053969	0.004518701	-0.000183891	0.004562764	-0.0003388765	0.004648215	-0.000642178	0.0048453770000000005	-0.0012229460000000001	0.00534482	-0.002249922	0.006470333000000001	-0.003807825	0.008584029	-0.005821491999999999
4	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	84.2412109375	10.1845703125	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.00033267800000000004	-8.222355e-05	0.00037988620000000003	-0.0001130942	0.00045167190000000004	-0.000139521	0.0005371223999999999	-0.0001394144	0.0006005548	-0.0001200009	0.0006429067	-0.0001170505	0.0006874221000000001	-0.0001408568	0.0007492698	-0.00019095819999999998	0.0008418299000000001	-0.0002692709	0.0009852664	-0.00037736839999999997	0.001211788	-0.0005009949	0.001544878	-0.000569932	0.001890401	-0.0004885846	0.00209584	-0.0003225751	0.002183465	-0.00020977439999999997	0.0022359479999999998	-0.00016518229999999999	0.002287061	-0.00016728619999999998	0.002350561	-0.00020591830000000002	0.002436089	-0.0002822258	0.002553879	-0.0004105963	0.002719623	-0.0006237434	0.0029617640000000004	-0.0009842179	0.003334091	-0.0015953929999999999	0.003893232	-0.0026445559999999997	0.004822252	-0.0045885890000000006
5	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	4373.14453125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.0003274782	-8.213360000000001e-05	0.0003686096	-0.0001197639	0.0004318399	-0.0001701864	0.0005284002	-0.0002292052	0.0006595748	-0.0002796303	0.0007997467999999999	-0.0003215755	0.000953715	-0.000392329	0.001170475	-0.0004950563	0.0014900570000000001	-0.0005646207	0.0018411039999999999	-0.0004908380000000001	0.002058328	-0.0003066538	0.002131894	-0.00016234040000000002	0.002153006	-9.249483e-05	0.002167873	-7.062501e-05	0.0021907660000000002	-7.093339e-05	0.0022198879999999997	-8.072706999999999e-05	0.002253733	-0.00010143479999999999	0.00229703	-0.0001391596	0.002356087	-0.00020099330000000003	0.00243674	-0.0003023886	0.002549245	-0.00047657550000000003	0.0027196259999999997	-0.0007863602	0.0030045009999999997	-0.0013238289999999999	0.003439421	-0.002239832	0.004124644	-0.003994745
6	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	9.19755859375e-10	9.799658407585014e-11	2.272193496692147e-14	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.0003274816	-8.213738000000002e-05	0.0003686147	-0.0001197695	0.00043184699999999996	-0.0001701949	0.0005284096	-0.00022921900000000002	0.0006595864999999999	-0.000279655	0.0007997610000000001	-0.0003216241	0.0009537355	-0.0003924293	0.001170515	-0.0004952633	0.001490166	-0.0005650448000000001	0.0018414689999999999	-0.0004916515	0.0020595329999999997	-0.0003079445	0.002135216	-0.000163152	0.00215872	-8.902337999999999e-05	0.002171273	-5.810092e-05	0.002184315	-5.0276359999999996e-05	0.002201881	-5.555933000000001e-05	0.0022257789999999998	-6.978342e-05	0.002258119	-9.312040999999999e-05	0.002303233	-0.0001277047	0.0023674860000000002	-0.0001753975	0.002457787	-0.00023686	0.00257941	-0.0003123906	0.002733528	-0.00040617889999999997	0.002916302	-0.0005357793	0.0031315220000000003	-0.0007603846000000001
7	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-36.84734918695216	-0.03190848980629108	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.0003274816	-8.21374e-05	0.0003686147	-0.00011976959999999999	0.0004318476	-0.00017019529999999999	0.000528414	-0.00022922	0.0006596075	-0.000279648	0.0007998071000000001	-0.00032156830000000004	0.0009537889999999999	-0.00039225940000000003	0.001170541	-0.0004948652	0.001490019	-0.0005641931	0.001840675	-0.0004901699	0.0020573979999999998	-0.0003060808	0.002130548	-0.0001618564	0.002149996	-9.193312e-05	0.002158238	-7.306453e-05	0.0021681720000000003	-9.187937e-05	0.0021851870000000003	-0.0001531338	0.002215922	-0.0002844159	0.002280349	-0.0005470793	0.002422183	-0.00103257	0.002620391	-0.001901347	0.0027791820000000003	-0.003707931	0.002964327	-0.007673148	0.003442222	-0.01623419	0.005199136	-0.03450892	0.01247074	-0.07262134
8	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-0.0357858170638539	15.090753928162085	22417.435945466317	120.51876912115738	0.0003274816	-8.213738999999999e-05	0.0003686147	-0.0001197695	0.00043184690000000003	-0.000170195	0.0005284094999999999	-0.0002292191	0.0006595861999999999	-0.0002796552	0.0007997598	-0.0003216248	0.0009537308	-0.00039243190000000003	0.0011705	-0.0004952729	0.001490107	-0.0005650709	0.001841224	-0.0004917689	0.0020586579999999997	-0.0003085387	0.002132806	-0.0001660209	0.002155399	-9.927914e-05	0.002173441	-8.215626e-05	0.002201984	-8.919424999999999e-05	0.002240387	-0.00010822	0.0022884010000000002	-0.00014075440000000002	0.002351237	-0.0001936064	0.002436629	-0.0002765274	0.002554397	-0.00040797580000000004	0.002720142	-0.0006225691	0.002962287	-0.0009837562	0.003334619	-0.0015953579999999998	0.003893797	-0.002644932	0.004823015999999999	-0.004589574
9	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	1.7607421875	179.40762785631833	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	99.77539079932735	15364.67709398364	0.0003274816	-8.213738999999999e-05	0.0003686147	-0.0001197695	0.00043184690000000003	-0.000170195	0.0005284094999999999	-0.0002292191	0.0006595861999999999	-0.0002796552	0.0007997598	-0.0003216248	0.0009537308	-0.00039243190000000003	0.0011705	-0.0004952729	0.001490107	-0.0005650709	0.001841224	-0.0004917689	0.0020586579999999997	-0.0003085387	0.002132806	-0.0001660209	0.002155399	-9.927914e-05	0.002173441	-8.215626e-05	0.002201984	-8.919424999999999e-05	0.002240387	-0.00010822	0.0022884010000000002	-0.00014075440000000002	0.002351237	-0.0001936064	0.002436629	-0.0002765274	0.002554397	-0.00040797580000000004	0.002720142	-0.0006225691	0.002962287	-0.0009837562	0.003334619	-0.0015953579999999998	0.003893797	-0.002644932	0.004823015999999999	-0.004589574
10	0.00027537597656249993	1.109375e-05	0.0006294873046874999	1.3696777343750005e-05	4.923828125e-06	0.1088671875	0.0055078125	0.46982421875	0.575439453125	0.22080078125	9.4111328125	26.2333984375	889.55078125	3.8995117187500005e-10	1.9588094362718e-18	3.8978068320495465e-15	9.4794921875	24.347840965120877	0.247060546875	0.4044921875	0.28847656250000003	1.2495117187500002	127.61076337895443	19.412109375	-1.5820446994869035	-1.229826225655732	-60.29390849463254	44809.19970946155	22417.435945466317	120.51876912115738	0.0003267304	-8.290036000000001e-05	0.0003664094	-0.0001223159	0.0004258338	-0.000178837	0.0005159232	-0.00025841680000000003	0.0006557066	-0.0003644462	0.0008768646000000001	-0.0004834808	0.001203382	-0.0005464342	0.0015400879999999998	-0.0004463228	0.0017182629999999998	-0.00025950560000000003	0.001771686	-0.0001288907	0.001784317	-6.279323000000001e-05	0.001787427	-3.3782220000000005e-05	0.00178939	-2.506175e-05	0.001794029	-2.9433470000000003e-05	0.001804303	-4.351907e-05	0.001821329	-6.809228e-05	0.0018485429999999998	-0.0001096468	0.0018940670000000001	-0.00017779770000000001	0.001968785	-0.0002862462	0.002090159	-0.00046034870000000004	0.002296022	-0.0007361855	0.002643552	-0.0011396639999999999	0.003135737	-0.001690415	0.003703548	-0.002637815	0.004589347	-0.004539186
